saledate,price,type,bedrooms
31/03/2011,329856,flat,1
30/06/2011,333049,flat,1
30/09/2011,337144,flat,1
31/12/2011,337400,flat,1
31/03/2012,339125,flat,1
30/06/2012,341807,flat,1
30/09/2012,344793,flat,1
31/12/2012,347754,flat,1
31/03/2013,348491,flat,1
30/06/2013,348512,flat,1
30/09/2013,347962,flat,1
31/12/2013,345573,flat,1
31/03/2014,343298,flat,1
30/06/2014,341289,flat,1
30/09/2014,338293,flat,1
31/12/2014,336520,flat,1
31/03/2015,334488,flat,1
30/06/2015,332703,flat,1
30/09/2015,330278,flat,1
31/12/2015,328300,flat,1
31/03/2016,326476,flat,1
30/06/2016,324725,flat,1
30/09/2016,325127,flat,1
31/12/2016,325521,flat,1
31/03/2017,327870,flat,1
30/06/2017,330319,flat,1
30/09/2017,332481,flat,1
31/12/2017,334804,flat,1
31/03/2018,336637,flat,1
30/06/2018,338105,flat,1
30/09/2018,339220,flat,1
31/12/2018,339350,flat,1
31/03/2019,337838,flat,1
30/06/2019,336551,flat,1
30/09/2019,335449,flat,1
30/06/2007,368817,flat,2
30/09/2007,368817,flat,2
31/12/2007,368817,flat,2
31/03/2008,368817,flat,2
30/06/2008,373482,flat,2
30/09/2008,377481,flat,2
31/12/2008,382010,flat,2
31/03/2009,380810,flat,2
30/06/2009,385791,flat,2
30/09/2009,391161,flat,2
31/12/2009,396448,flat,2
31/03/2010,402898,flat,2
30/06/2010,408608,flat,2
30/09/2010,412509,flat,2
31/12/2010,415991,flat,2
31/03/2011,417970,flat,2
30/06/2011,419777,flat,2
30/09/2011,421158,flat,2
31/12/2011,423144,flat,2
31/03/2012,424673,flat,2
30/06/2012,424249,flat,2
30/09/2012,425453,flat,2
31/12/2012,425922,flat,2
31/03/2013,425751,flat,2
30/06/2013,426621,flat,2
30/09/2013,428398,flat,2
31/12/2013,428365,flat,2
31/03/2014,429283,flat,2
30/06/2014,429361,flat,2
30/09/2014,428911,flat,2
31/12/2014,429832,flat,2
31/03/2015,431567,flat,2
30/06/2015,432730,flat,2
30/09/2015,432791,flat,2
31/12/2015,432801,flat,2
31/03/2016,431418,flat,2
30/06/2016,430880,flat,2
30/09/2016,430654,flat,2
31/12/2016,430308,flat,2
31/03/2017,429897,flat,2
30/06/2017,429059,flat,2
30/09/2017,428878,flat,2
31/12/2017,428532,flat,2
31/03/2018,427856,flat,2
30/06/2018,427623,flat,2
30/09/2018,426970,flat,2
31/12/2018,426936,flat,2
31/03/2019,426669,flat,2
30/06/2019,425659,flat,2
30/09/2019,424412,flat,2
30/09/2007,518911,flat,3
31/12/2007,518911,flat,3
31/03/2008,518911,flat,3
30/06/2008,518911,flat,3
30/09/2008,518911,flat,3
31/12/2008,518911,flat,3
31/03/2009,518911,flat,3
30/06/2009,518911,flat,3
30/09/2009,523285,flat,3
31/12/2009,522862,flat,3
31/03/2010,524008,flat,3
30/06/2010,535063,flat,3
30/09/2010,538694,flat,3
31/12/2010,555117,flat,3
31/03/2011,550851,flat,3
30/06/2011,547981,flat,3
30/09/2011,539828,flat,3
31/12/2011,530987,flat,3
31/03/2012,540344,flat,3
30/06/2012,537592,flat,3
30/09/2012,548326,flat,3
31/12/2012,555644,flat,3
31/03/2013,566706,flat,3
30/06/2013,580696,flat,3
30/09/2013,581428,flat,3
31/12/2013,586470,flat,3
31/03/2014,583883,flat,3
30/06/2014,583370,flat,3
30/09/2014,598512,flat,3
31/12/2014,598812,flat,3
31/03/2015,599507,flat,3
30/06/2015,602877,flat,3
30/09/2015,603343,flat,3
31/12/2015,612295,flat,3
31/03/2016,617363,flat,3
30/06/2016,622045,flat,3
30/09/2016,616198,flat,3
31/12/2016,610618,flat,3
31/03/2017,606935,flat,3
30/06/2017,605273,flat,3
30/09/2017,606850,flat,3
31/12/2017,604413,flat,3
31/03/2018,604293,flat,3
30/06/2018,603434,flat,3
30/09/2018,603281,flat,3
31/12/2018,601167,flat,3
31/03/2019,605637,flat,3
30/06/2019,599339,flat,3
30/09/2019,597884,flat,3
